order,id,name,category,rarity,unlockSource,levelReward,shardRequirement,sourceArchivePath,sourceFilename,sourceSha256,canonicalFilename,canonicalPath
21,attenborough_pitcher,Attenborough's Pitcher Plant,botanical,uncommon,weekly_keys,,100,02_Batch_2_Uncommon_Flowers/attenborough_pitcher_plant.png,attenborough_pitcher_plant.png,9ecfbde82d49758e325ce32011f6654e1888f9171e2c66e07b50d8b66699dc2b,attenborough_pitcher.png,avatars/canonical/attenborough_pitcher.png
22,slipper_orchid,Philippine Slipper Orchid,flower,uncommon,weekly_keys,,100,02_Batch_2_Uncommon_Flowers/philippine_slipper_orchid.png,philippine_slipper_orchid.png,8ab60e572044bb6ea3490d60fe9c05aa023a7c35a5704e6cc1f2104286f1b631,slipper_orchid.png,avatars/canonical/slipper_orchid.png
23,philippine_hoya,Philippine Hoya,flower,uncommon,weekly_keys,,100,02_Batch_2_Uncommon_Flowers/philippine_hoya.png,philippine_hoya.png,66821f003b931fae58f6cc743ee6b8ed9ce5931c629e9d5ed4c1f8ddca6f49ae,philippine_hoya.png,avatars/canonical/philippine_hoya.png
24,parol,Parol,object,uncommon,level_or_weekly,50,100,03_Batch_3_Objects_and_Symbols/parol.png,parol.png,58e2248d7016c3cee272ca4303db0773f842639fd0c21efbbee8d866add7adc0,parol.png,avatars/canonical/parol.png
25,vinta,Vinta,object,uncommon,weekly_keys,,100,03_Batch_3_Objects_and_Symbols/vinta.png,vinta.png,ecc371b8b43b111b752a2f0dc6b959b405f5dd4f89dd9fa782f43450acbe7d4b,vinta.png,avatars/canonical/vinta.png
26,kulintang,Kulintang,object,uncommon,level_or_weekly,90,100,03_Batch_3_Objects_and_Symbols/kulintang.png,kulintang.png,b0880d86b4d7fe5dd0691bce69d3aed11495fd095f6e4228c83f9650120cb6e5,kulintang.png,avatars/canonical/kulintang.png
27,bangka,Bangka,object,uncommon,level_or_weekly,70,100,03_Batch_3_Objects_and_Symbols/bangka.png,bangka.png,3f41fe2a81fd256f879ee6a64305c41f34faba9373cb0e51185c43f584f2f90b,bangka.png,avatars/canonical/bangka.png
28,jeepney,Jeepney,object,uncommon,weekly_keys,,100,03_Batch_3_Objects_and_Symbols/jeepney.png,jeepney.png,2cbd8d601924df0e794f2dccba20d9bfc12ebe2588abe19a9f13691ce83b78e4,jeepney.png,avatars/canonical/jeepney.png
29,bahay_kubo,Bahay Kubo,object,uncommon,weekly_keys,,100,03_Batch_3_Objects_and_Symbols/bahay_kubo.png,bahay_kubo.png,f0ffa01e63c012f6b0db01288e58933be4952d20757c303d25902c8612141903,bahay_kubo.png,avatars/canonical/bahay_kubo.png
30,sarimanok,Sarimanok,object,uncommon,weekly_keys,,100,03_Batch_3_Objects_and_Symbols/sarimanok.png,sarimanok.png,4a6eabd9e407b75de421a16905374ba76505b5a89b96c3fa30eefc4170e0a2bb,sarimanok.png,avatars/canonical/sarimanok.png
31,golden_salita_crest,Golden Salita Crest,special,special,level_99,99,0,03_Batch_3_Objects_and_Symbols/golden_salita_crest.png,golden_salita_crest.png,27550437b75eb81fd007d342f3d78f9bc16bcdc493e31732c684de9e96b3a7a3,golden_salita_crest.png,avatars/canonical/golden_salita_crest.png
32,philippine_pangolin,Philippine Pangolin,animal,rare,weekly_keys,,100,04_Batch_4_Rare_Animals_Set_1/philippine_pangolin.png,philippine_pangolin.png,fca77ac5ad323b2bde515aa7b1ee399c2a2acc6107c325b5a16998d590e10ed6,philippine_pangolin.png,avatars/canonical/philippine_pangolin.png
33,visayan_spotted_deer,Visayan Spotted Deer,animal,rare,weekly_keys,,100,04_Batch_4_Rare_Animals_Set_1/visayan_spotted_deer.png,visayan_spotted_deer.png,70862eceec24b123f0958797d4de9e201bfd680354d35007e1d77788bc02f70d,visayan_spotted_deer.png,avatars/canonical/visayan_spotted_deer.png
34,visayan_warty_pig,Visayan Warty Pig,animal,rare,weekly_keys,,100,04_Batch_4_Rare_Animals_Set_1/visayan_warty_pig.png,visayan_warty_pig.png,2d88af03ede3f4407b70d5402d94b9287b7c597a04af4b9b66d44067e569a595,visayan_warty_pig.png,avatars/canonical/visayan_warty_pig.png
35,philippine_crocodile,Philippine Crocodile,animal,rare,weekly_keys,,100,04_Batch_4_Rare_Animals_Set_1/philippine_crocodile.png,philippine_crocodile.png,2a25cc12a0ebcdd520f2459ec01f5968bd87d54509e8fb498b73dbd0abf25b08,philippine_crocodile.png,avatars/canonical/philippine_crocodile.png
36,philippine_forest_turtle,Philippine Forest Turtle,animal,rare,weekly_keys,,100,04_Batch_4_Rare_Animals_Set_1/philippine_forest_turtle.png,philippine_forest_turtle.png,0c951c5399cfb547b2cf389d360730922a5a1fd52daac9f1652a34728a281822,philippine_forest_turtle.png,avatars/canonical/philippine_forest_turtle.png
37,philippine_sailfin_lizard,Philippine Sailfin Lizard,animal,rare,weekly_keys,,100,04_Batch_4_Rare_Animals_Set_1/philippine_sailfin_lizard.png,philippine_sailfin_lizard.png,d95e5e4897c5756f7bfa96e8cf0e4b05c2984bf710cf7e8b89ce16189f214535,philippine_sailfin_lizard.png,avatars/canonical/philippine_sailfin_lizard.png
38,golden_crowned_flying_fox,Giant Golden-Crowned Flying Fox,animal,rare,weekly_keys,,100,04_Batch_4_Rare_Animals_Set_1/giant_golden_crowned_flying_fox.png,giant_golden_crowned_flying_fox.png,93b56225d3f25b65688d6adc34d65c0f6c02db13bd2e3983e992a6e3d6d81bb8,golden_crowned_flying_fox.png,avatars/canonical/golden_crowned_flying_fox.png
39,philippine_colugo,Philippine Colugo,animal,rare,weekly_keys,,100,04_Batch_4_Rare_Animals_Set_1/philippine_colugo.png,philippine_colugo.png,7294045615375e9306b0a94a559ba0e9ed005dee99faf67d8edf78618d20e0b7,philippine_colugo.png,avatars/canonical/philippine_colugo.png
40,philippine_cockatoo,Philippine Cockatoo,animal,rare,weekly_keys,,100,05_Batch_5_Rare_Animals_Set_2/philippine_cockatoo.png,philippine_cockatoo.png,baea545b1adce7949b32ff10348d1692d7cb5d00a9f699c28f590b39b3ed8d6e,philippine_cockatoo.png,avatars/canonical/philippine_cockatoo.png
41,rufous_hornbill,Rufous Hornbill,animal,rare,weekly_keys,,100,05_Batch_5_Rare_Animals_Set_2/rufous_hornbill.png,rufous_hornbill.png,3d5b79c943e11aa295e57f7a82139990f18f5dfc41d1eecc5d61d61456ee65f2,rufous_hornbill.png,avatars/canonical/rufous_hornbill.png
42,luzon_bleeding_heart_dove,Luzon Bleeding-Heart Dove,animal,rare,weekly_keys,,100,05_Batch_5_Rare_Animals_Set_2/luzon_bleeding_heart_dove.png,luzon_bleeding_heart_dove.png,fa36c14aca3ad2dce66f3634f09f61f08c78a3ae2ce4cda625aa253387653214,luzon_bleeding_heart_dove.png,avatars/canonical/luzon_bleeding_heart_dove.png
43,cebu_flowerpecker,Cebu Flowerpecker,animal,rare,weekly_keys,,100,05_Batch_5_Rare_Animals_Set_2/cebu_flowerpecker.png,cebu_flowerpecker.png,5595ae68a415a40a70c42efc72e62f502e81ce2a68da1c27f8248aae1871451e,cebu_flowerpecker.png,avatars/canonical/cebu_flowerpecker.png
44,philippine_eagle_owl,Philippine Eagle-Owl,animal,rare,weekly_keys,,100,05_Batch_5_Rare_Animals_Set_2/philippine_eagle_owl.png,philippine_eagle_owl.png,3811b37aaf359994499653dbbbb6bcdf54d0bdac4242523a71f1d66abe29400c,philippine_eagle_owl.png,avatars/canonical/philippine_eagle_owl.png
45,whale_shark_butanding,Whale Shark / Butanding,animal,rare,weekly_keys,,100,05_Batch_5_Rare_Animals_Set_2/whale_shark_butanding.png,whale_shark_butanding.png,de9db711858704013b8a5bb51efafe9589baf402fe22f6450f922a6847fb0205,whale_shark_butanding.png,avatars/canonical/whale_shark_butanding.png
46,dugong,Dugong,animal,rare,weekly_keys,,100,05_Batch_5_Rare_Animals_Set_2/dugong.png,dugong.png,5cb31037b9b59654e500ed0679ec12b1b6508ebcdfa9da483769fdd50d99c766,dugong.png,avatars/canonical/dugong.png
47,hawksbill_sea_turtle,Hawksbill Sea Turtle,animal,rare,weekly_keys,,100,05_Batch_5_Rare_Animals_Set_2/hawksbill_sea_turtle.png,hawksbill_sea_turtle.png,bc1b69d95d8704b0b3cb03ec06456f184f9afde3e52613bcabc73a8956a1c4b5,hawksbill_sea_turtle.png,avatars/canonical/hawksbill_sea_turtle.png
